"REF_DATE","GEO","DGUID","Components of population growth","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000/2001","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","327487","","","","0"
"2001/2002","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","329131","","","","0"
"2002/2003","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","331640","","","","0"
"2003/2004","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","339351","","","","0"
"2004/2005","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","341833","","","","0"
"2005/2006","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","349162","","","","0"
"2006/2007","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","363935","","","","0"
"2007/2008","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","376992","","","","0"
"2008/2009","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","383257","","","","0"
"2009/2010","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","382159","","","","0"
"2010/2011","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","378665","","","","0"
"2011/2012","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","380335","","","","0"
"2012/2013","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","382609","","","","0"
"2013/2014","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","382877","","","","0"
"2014/2015","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","383839","","","","0"
"2015/2016","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","384300","","","","0"
"2016/2017","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","380554","","","","0"
"2017/2018","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","377163","","","","0"
"2018/2019","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","373307","","","","0"
"2019/2020","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","371321","","","","0"
"2020/2021","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","362563","","","","0"
"2021/2022","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","364503","","","","0"
"2022/2023","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","351708","","","","0"
"2023/2024","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","359885","","","","0"
"2000/2001","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","219320","","","","0"
"2001/2002","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","220847","","","","0"
"2002/2003","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","224254","","","","0"
"2003/2004","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","229256","","","","0"
"2004/2005","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","230211","","","","0"
"2005/2006","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","225915","","","","0"
"2006/2007","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","234193","","","","0"
"2007/2008","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","236696","","","","0"
"2008/2009","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","237896","","","","0"
"2009/2010","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","237330","","","","0"
"2010/2011","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","245667","","","","0"
"2011/2012","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","242669","","","","0"
"2012/2013","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","251865","","","","0"
"2013/2014","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","253122","","","","0"
"2014/2015","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","266313","","","","0"
"2015/2016","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","262278","","","","0"
"2016/2017","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","274517","","","","0"
"2017/2018","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","283939","","","","0"
"2018/2019","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","283148","","","","0"
"2019/2020","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","297195","","","","0"
"2020/2021","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","307297","","","","0"
"2021/2022","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","323105","","","","0"
"2022/2023","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","337708","","","","0"
"2023/2024","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","344593","","","","0"
"2000/2001","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","252527","","","","0"
"2001/2002","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","256405","","","","0"
"2002/2003","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","199170","","","","0"
"2003/2004","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","239101","","","","0"
"2004/2005","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","244599","","","","0"
"2005/2006","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","254381","","","","0"
"2006/2007","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","238127","","","","0"
"2007/2008","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","249632","","","","0"
"2008/2009","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","245313","","","","0"
"2009/2010","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","270635","","","","0"
"2010/2011","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","259143","","","","0"
"2011/2012","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","260043","","","","0"
"2012/2013","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","263115","","","","0"
"2013/2014","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","267936","","","","0"
"2014/2015","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","240775","","","","0"
"2015/2016","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","323188","","","","0"
"2016/2017","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","272694","","","","0"
"2017/2018","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","303369","","","","0"
"2018/2019","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","313603","","","","0"
"2019/2020","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","284153","","","","0"
"2020/2021","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","226314","","","","0"
"2021/2022","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","493236","","","","0"
"2022/2023","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","468913","","","","0"
"2023/2024","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","464265","","","","0"
