REF_DATE,GEO,DGUID,Financial market statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
01-01-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,,..,,,3
02-01-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,,..,,,3
03-01-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
04-01-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
05-01-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
06-01-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
07-01-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
08-01-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,,..,,,3
09-01-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,,..,,,3
10-01-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
11-01-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
12-01-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
13-01-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
14-01-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
15-01-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,,..,,,3
16-01-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,,..,,,3
17-01-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
18-01-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
19-01-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
20-01-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
21-01-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
22-01-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,,..,,,3
23-01-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,,..,,,3
24-01-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
25-01-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
26-01-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
27-01-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
28-01-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
29-01-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,,..,,,3
30-01-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,,..,,,3
31-01-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
01-02-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
02-02-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
03-02-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
04-02-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
05-02-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,,..,,,3
06-02-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,,..,,,3
07-02-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
08-02-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
09-02-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
10-02-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
11-02-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
12-02-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,,..,,,3
13-02-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,,..,,,3
14-02-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
15-02-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
16-02-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
17-02-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
18-02-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
19-02-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,,..,,,3
20-02-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,,..,,,3
21-02-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
22-02-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
23-02-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
24-02-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
25-02-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
26-02-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,,..,,,3
27-02-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,,..,,,3
28-02-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
01-03-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
02-03-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
03-03-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
04-03-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
05-03-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,,..,,,3
06-03-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,,..,,,3
07-03-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
08-03-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
09-03-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
10-03-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
11-03-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
12-03-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,,..,,,3
13-03-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,,..,,,3
14-03-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
15-03-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
16-03-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
17-03-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
18-03-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
19-03-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,,..,,,3
20-03-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,,..,,,3
21-03-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
22-03-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
23-03-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
24-03-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
25-03-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
26-03-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,,..,,,3
27-03-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,,..,,,3
28-03-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
29-03-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
30-03-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
31-03-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
01-04-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
02-04-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,,..,,,3
03-04-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,,..,,,3
04-04-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
05-04-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
06-04-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
07-04-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
08-04-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
09-04-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,,..,,,3
10-04-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,,..,,,3
11-04-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
